Sifrejumi,Vieta
K1,Raunas pilsdrupas
K2,Siguldas kamaniņu trase
K3,Valmieras Valsts ģimnāzija
K4,Menģeles skatu tornis
K5,Bauskas pilskalna vieta
K6,Ventas rumba
K7,Liepājas karosta
K8,Durbes pilskalns
K9,Tērvetes koka pils
K10,Cieceres dabas taka
U1,Valmieras uzpildes stacija
U2,Cēsu uzpildes stacija
U3,Straupes uzpildes stacija
U4,Siguldas uzpildes stacija
U5,Džūkstes pagastsa uzpildes stacija
U6,Iecavas uzplides stacija
U7,Skrundas uzpildes stacija
U8,Saldus uzpildes stacija
U9,Liepājas uzpildes stacija
U10,Rīgas uzpildes stacija
